t,x1,y1,pv,gamma,rho1_l,rho2_l,rho1_v,rho2_v
0.8,0.0,,0.00448,1.001,,0.80116,,0.0058
0.8,0.125,0.00017506662257581358,0.00394,1.081,0.0945,0.6313,9e-07,0.00514
0.8,0.25,0.004002825523899223,0.00327,1.15,0.1715,0.4915,1.7e-05,0.00423
0.8,0.375,0.004224502112251056,0.00257,1.23,0.2352,0.3752,1.4e-05,0.0033
0.8,0.5,0.006955177743431223,0.00202,1.3,0.2893,0.2763,1.8e-05,0.00257
0.8,0.625,0.009483667017913594,0.0015,1.355,0.3356,0.1912,1.8e-05,0.00188
0.8,0.75,0.015151515151515154,0.00104,1.41,0.37565,0.1176,2e-05,0.0013
0.8,0.875,0.049180327868852465,0.00047,1.46,0.4105,0.0541,3e-05,0.00058
0.8,1.0,,2.7e-05,1.49,0.43995,,3.3e-05,
0.9,1.0,,0.00015,1.303,0.42381,,0.00015,
1.0,0.0,,0.0244,0.484,,0.7033,,0.0287
1.0,0.125,0.005669428696031399,0.0202,0.593,0.08733,0.5583,0.00013,0.0228
1.0,0.25,0.013859275053304903,0.0168,0.69,0.1591,0.436,0.00026,0.0185
1.0,0.375,0.015829318651066758,0.0133,0.796,0.2171,0.3309,0.00023,0.0143
1.0,0.5,0.03424056189640035,0.0106,0.852,0.2693,0.2452,0.00039,0.011
1.0,0.625,0.05058365758754864,0.00735,0.956,0.3115,0.1705,0.00039,0.00732
1.0,0.75,0.08752327746741155,0.0052,0.96,0.3488,0.1046,0.00047,0.0049
1.0,0.875,0.20224719101123595,0.00263,1.05,0.3799,0.0492,0.00054,0.00213
1.0,1.0,,0.00054,1.08,0.40749,,0.00053,
1.1,0.0,,0.0454,0.256,,0.6434,,0.0539
1.1,0.125,0.00949136042832806,0.0369,0.374,0.084,0.5148,0.00039,0.0407
1.1,0.25,0.022741241548862937,0.0304,0.498,0.1535,0.404,0.00074,0.0318
1.1,0.375,0.037995149555375904,0.024,0.573,0.2108,0.3097,0.00094,0.0238
1.1,0.5,0.05851063829787234,0.0186,0.656,0.259,0.227,0.0011,0.0177
1.1,0.625,0.09566517189835577,0.0136,0.73,0.2977,0.157,0.00128,0.0121
1.1,0.75,0.15560916767189384,0.0087,0.805,0.3344,0.0984,0.00129,0.007
1.1,0.875,0.2907949790794979,0.00501,0.853,0.3644,0.0458,0.00139,0.00339
1.1,1.0,,0.00162,0.907,0.3905,,0.00146,
1.2,1.0,,0.0038,0.707,0.37304,,0.00337,
1.3,0.125,0.04072398190045248,0.0921,0.058,0.0763,0.4119,0.0045,0.106
1.3,0.25,0.06524633821571238,0.0717,0.153,0.1388,0.3319,0.0049,0.0702
1.3,0.375,0.10771992818671454,0.0564,0.224,0.1904,0.2565,0.006,0.0497
1.3,0.5,0.14592484138604198,0.044,0.327,0.2345,0.1895,0.00598,0.035
1.3,0.625,0.20136518771331058,0.0329,0.394,0.2725,0.133,0.0059,0.0234
1.3,0.75,0.3273542600896861,0.0238,0.42,0.3036,0.0816,0.0073,0.015
1.3,0.875,0.5,0.0145,0.502,0.3305,0.0392,0.0061,0.0061
1.3,1.0,,0.0074,0.57,0.354,,0.0063,
1.4,0.125,0.07428571428571427,0.1283,0.001,0.0643,0.341,0.013,0.162
1.4,0.25,0.1098901098901099,0.1,0.034,0.1263,0.2936,0.012,0.0972
1.4,0.375,0.1559278350515464,0.0783,0.106,0.177,0.231,0.0121,0.0655
1.4,0.5,0.21355932203389832,0.0626,0.173,0.22,0.1716,0.0126,0.0464
1.4,0.625,0.2885085574572127,0.0463,0.24,0.2547,0.1217,0.0118,0.0291
1.4,0.75,0.3972602739726027,0.0343,0.287,0.2852,0.0759,0.0116,0.0176
1.4,0.875,0.6030927835051546,0.0234,0.333,0.3113,0.0359,0.0117,0.0077
1.4,1.0,,0.0142,0.378,0.3339,,0.0118,
1.5,1.0,,0.0236,0.245,0.3109,,0.0195,
1.7,1.0,,0.0549,0.034,0.2504,,0.053,
